khach_cmt,rating,shop_phan_hoi
"mua 4 cái rồi mới biết bị xù lông, cái đầu tiên cách đây 2 tháng giặt vài lần xù hết lên rồi.",1,nan
"vải khá ok nhg quần ko giống màu như hình, nó cứ ánh lên màu xanh than ý, chắc mua hàng rẻ nên vậy huhu",1,nan
"chăm sóc khách hàng phải nói là quá tệ từ khi biết mua hàng shope chưa thấy shop nào như shop này.chuẩn bị hàng lâu,khâu vận chuyển cũng lâu.quần có vài chục mà cả nửa tháng mới nhận đc.nt shop hỏi lh bên vận chuyển thì shop bơ luôn.để cho khách hàng nói 1 mình,online nhug nt 2 ngày ko rep tn 🙂",1,nan
"chất lượng vải lẫn đường may quá tệ. mỏng tanh, chỉ thừa thì tùm lum",1,nan
mặc 1 lần mà bị rút chỉ sau mông hết. chỉ tội ông ck bị vợ cười chọc nguyên ngày. hình ảnh video chỉ mang tính chất nhận xu,1,nan
"treo đầu dê bán thịt chó, quần mỏng tanh nhìn thấy cả da :) vải toàn nilon đường kẻ may chỉ nổi khác hoàn toàn so với ảnh. dùng 30k xu phí cả xu",1,nan
cập nhật lại chút về cái quần. năm ngoái mua ổn vải ok. năm nay mình mua mặc đc 1 lần đã bị hỏng thes này rồi. k rõ shop đang làm gì nữa,1,nan
"hàng đúng mẫu, chất lượng vải ko đẹp, may gia công bị nhăn, túi mỏng rách, như quần bà già chán đời, hoàn hàng mà ko cho",1,nan
"hí hửng mặc quần vào cái rách đũng luôn, chịu đấy, từ sau chừa mua quần áo trên shope, ham flash sale toàn trúng của ôi",1,nan
"vải mỏng mà xấu , k giống hình ảnh , tiền nào của nấy chán",1,nan
quần mỏng vãi nhái vải bên trong rối tùm lum một đống chỉ thừa chả hiểu sao gần 40k lượt mua) gửi hang thì rõ lâu thực sự ko đáng tiền nên cân nhắc,1,nan
quần mua về bị lỗi vãi tùm lum,1,nan
bọc quần rách những vẫn bán cho khách hàng.,1,nan
quần không giống trong ảnh vải này phù hợp trời rét 3 sọc đen rất ngắn xấu,1,nan
hàng mới mua mặc 1 lần mà xước trầy. chất lượng vải quá kém h,1,nan
"vải rất mỏng, mua về đúng là phí tiền, không thể mặc được, mọi người không nên mua nhé",1,nan
chất lượng sản phẩm rất kém may thì lỗi quần thì rách nt thì bên shop k hỗ trợ k trả lời nt,1,nan
"quần mỏng , may xấu, lấy quần size nhỏ gá mác tạm bợ lên dây quần, không đáng giá 8 chục vì còn kém hơn cả mấy cái quần 50k mua vệ đường",1,nan
"giao hàng không đúng mẫu , đặt nhầm sọc lên nhắn tin xin shop đổi sọc dùm ngay lập tức , nhưng shop không đổi, hình đăng quần bo ống, giao quần ống suông không bo, nhắn tin không phản hồi, sẽ không bao giờ mua lại , cho 1 sao là vì nếu không cho sao sẽ không đánh giá được",1,nan
bán sp lỗi cho khách hàng không thể chấp nhận được,1,nan
"đặt 2 cái giao 1 cái . khiếu nại thì nv bảo giao đủ hàng, shiper báo shop k cho kiểm hàng kiểu giao xobg kệ mẹ mày :) cạch mặt shop sale kiểu bố láo đvc làm ăn k có trách nhiệm",1,nan
"đặt 3 cái shop giao 2 cái, nt phản hồi thì shop nói giao đủ, nhắn thêm thì shop ko thèm.tl. shop còn ghi chú ở ngoài hộp là 2 cái thì sao bảo mh kt lại xem có nhầm ko. cái quần ko đáng bn nhưng ko hài lòng về cách cư xử của shop!",1,nan
"[tb] hưởng ứng ngày pháp luật nước cộng hòa xã hội chủ nghĩa việt nam 09/11, toàn dân nâng cao ý thức tôn trọng, tuân theo hiến pháp và pháp luật.",1,nan
chất lượng quá chán vừa mua mặc phát đã nứt như này rồi,1,nan
"quần rách, màu túi shop ưu ái cho tận 3 loại vải trông kinh vãi, thất vọng thật sự. cảm ơn shop đã gửi cho mình cái rẻ lau nhà",1,nan
"không hiểu quần có chữ này thì mặc như thêd nào luôn, lại còn mua tặng, chịu luôn ạ.",1,nan
quần rách như vậy mà giao cho khách. nt ko trả lời. ,1,nan
"2 cái quần lỗi quá nhiều. đường chỉ bung tùm lum,dây quần thì cột lại mới ghê",1,nan
