khach_cmt,rating,shop_phan_hoi,,,,,,,,,,,,,,,,,,,,,,,
chất lượng sản phẩm kém. mặc 1-2 lần đã bị xù lông,1,,,,,,,,,,,,,,,,,,,,,,,,
sản phẩm quá đẹp,1,,,,,,,,,,,,,,,,,,,,,,,,
chê,1,,,,,,,,,,,,,,,,,,,,,,,,
đang học mà shipper gọi cô thu điện thoại,1,,,,,,,,,,,,,,,,,,,,,,,,
tệ,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng xấu,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng xấu,1,,,,,,,,,,,,,,,,,,,,,,,,
"không ưng, quần thì ống cao ống thấp, đường may thì ẩu",1,,,,,,,,,,,,,,,,,,,,,,,,
dùng như dẻ lau,1,,,,,,,,,,,,,,,,,,,,,,,,
xấu,1,,,,,,,,,,,,,,,,,,,,,,,,
3 kẻ sọc bị lỗi bật chỉ. túi lỗi bị thủng,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng lỗi,1,hàng có xác nhỏ bị lỗi. anh chị liên hệ với shop để được đổi trả hoàn tiền. xin lỗi anh chị vì sự bất tiện này.,,,,,,,,,,,,,,,,,,,,,,,
shop tư vấn mà về vẫn dài quá,1,,,,,,,,,,,,,,,,,,,,,,,,
sản phẩm mặc một lần xù hết lên,1,hàng có xác nhỏ bị lỗi. anh chị liên hệ với shop để được đổi trả hoàn tiền. xin lỗi anh chị vì sự bất tiện này.,,,,,,,,,,,,,,,,,,,,,,,
rẻ nhưng chất lượng hơi kém,1,,,,,,,,,,,,,,,,,,,,,,,,
chất lượng có thể nói là tệ,1,hàng có xác nhỏ bị lỗi. anh chị liên hệ với shop để được đổi trả hoàn tiền. xin lỗi anh chị vì sự bất tiện này.,,,,,,,,,,,,,,,,,,,,,,,
vì mẹ la nên cho 1 sao,1,cảm ơn anh chị đã ủng hộ shop. chúc anh chị lần sau không bị mẹ la ạ.,,,,,,,,,,,,,,,,,,,,,,,
quần ống bo giao quần ống thường  shop nhỉ,1,xin lỗi anh chị vì sự nhầm lẫn này ạ,,,,,,,,,,,,,,,,,,,,,,,
hỏng,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng ok nhưng vẫn 1 sao,1,,,,,,,,,,,,,,,,,,,,,,,,
quần rách túi ,1,hàng có xác nhỏ bị lỗi. anh chị liên hệ với shop để được đổi trả hoàn tiền. xin lỗi anh chị vì sự bất tiện này.,,,,,,,,,,,,,,,,,,,,,,,
như cứt anh em ạ,1,,,,,,,,,,,,,,,,,,,,,,,,
form hơi nhỏ chứ không được rộng như trên ảnh,1,,,,,,,,,,,,,,,,,,,,,,,,
