khach_cmt,rating,shop_phan_hoi
chưa dùng nên chưa biết chất lượng thế nào . nhưng đánh giá shop 1 sao vì không che tên sản phẩm mặc dù mình đã nhắn tin dặn shop kĩ càng rồi,1,
chưa nhận được hàng mà báo nhận được rồi . thật là không hài lòng về bên vận chuyển 1 tí nào ,1,
"giao hàng không đủ số lượng ! nhắn tin đàng hoàng nói shop kiểm lại, thì shop trích xuất camera với một núi đơn hàng mà shop đang đóng gói. xong báo với mình là shop đã gói đủ hàng.mình khuyên các bạn nên cẩn thận khi mua tại shop này, mua xong xảy ra sự cố thì đùn đẩy trách nhiệm cho bên vận chuyển",1,shop đã giao đủ hàng có gửi cả clip gói hàng gói hàng cho khách rồi
chê,1,
"quần đẹp nhưng quá bé, mình 45kg mà cũng không vừa mặc xong nó cứ dắt vào khe. nói chung là không đang để mua",1,
"quần gì chưa mặc, mới ngâm giặt tý mà ra màu lem hết. chán thiệt. vải thì đẹp đó",1,
đã lưu ý với shop là không lấy màu trắng và da rồi mà shop vẫn cố tình gửi,1,
quần bên shop bình thường nhưng shipper giao hàng cho mình không đưa tận tay cho mình mà gửi ở một quán bida nào đó rồi bắt mình ra lấy mình có gọi lại cho shipper mà trả lời vô ý thức vô trách nhiệm . mình nghĩ shopee cho bạn shipper đó nghĩ việc đi làm việc không quan tâm đến lợi ích của khách hàng,1,
"đoạn nối của mặt đáy quần lót với cả quần dễ bị bung lắm. không nên mua mới mặc lần đầu đã bung, muốn lấy lại tiền. quá tiếc tiền đừng ai mua",1,
"sau giặt 1-2 lần sản phẩm giảm chất lượng rõ rệt, chất liệu mặc cứng và không mềm mại! tưởng giá rẻ mà không hề rẻ ạ, mình bỏ đi cả 5 cái không mặc được!",1,mình vừa kiểm tra đơn của b và mình cảm thấy thắc mắc thứ nhất: bạn mua 4 chiếc. sao lại vứt đi 5 ạ? b có nhầm với đơn hàng mua của shop khác không ạ? thứ hai: đơn hàng này b mua cách đây 30 ngày. trong 30 ngày b chỉ mặc 1-2 lần ạ? sao cho tới bây giờ b mới phản ánh ạ?
"bên vận chuyển không giao hàng, mà nói là giao thành công. lừa đảo không.",1,"bạn ship có báo rằng trong quá trình đi ship b ấy làm mất đơn của chị, đơn của chị thanh toán khi nhận hàng nên tuy đơn bị mất nhưng chị không bị thiệt hại về tiền. b ấy đã liên lạc với chị để xin lỗi. trên hành trình đơn hiện trạng thái đã giao bởi vì bạn ấy làm mất nên bạn ấy tự kí nhận đơn để đền tiền cho shop. shop đã liên hệ và hỗ trợ bạn ship 1 phần vì mất hàng trong quá trình đi giao đều không ai mong muốn cả. em mong là chị cũng tha thứ cho bạn ấy vì bạn ấy cũng đã xin lỗi chị chân thành ạ!"
"chất lượng quá tồi, áo mỏng, giá không hề rẻ, không giống quảng cáo, quá thất vọng, muốn trả hàng ngay nếu shop đồng ý",1,
