khach_cmt,rating,shop_phan_hoi
đặt 1 kiểu giao hàng 1 kiểu,1,"chào x*u, không biết bạn chưa hài lòng về điều gì về sản phẩm bên shop ạ? hãy nói cho shop biết để shop khắc phục ạ. nếu bạn đã hài lòng thì bạn vui lòng đánh giá 5 sao giúp shop nhé."
"đặt mua từ mồng 7 đến tận 15 mới nhận được ,ok quên đơn. chọn ngay được cái đơn vị giao hàng tệ. rồi nhận hàng thì size mẫu tùm lum . từ cự khê ra đa sỹ mà mất hơn tuần tức ghê",1,
bạn nào muốn mua size to thì hết sức lưu ý nhé. 2 size 2xl và 3xl mình đo là hoàn toàn bằng nhau. chất liệu vải cũng khác nhau hoàn toàn. loại 2xl vải cứng còn 3xl vải mềm hơn.,1,
làm ăn không uy tín. 4 màu mà giao 3 màu . nhắn tin không trả lời,1,
shop này làm ăn vớ vẩn thật ý. mình đặt bên shop 2 hộp sịp mà shop gửi về có 1 hộp. mình đã ib cho shop và shop bảo sẽ gửi bù cho mình từ hôm 13 đến hôm nay ngày 19 rồi cũng chưa thấy gì. và cũng không thấy shop ib bảo gì cả . mua bao nhiêu hàng giờ mới gặp trường hợp này ,1,"dạ mong bạn thông cảm cho sự sơ suất này của shop, shop sẽ gửi hàng ngay lại cho bạn ạ"
"vải xấu cực kì, không như hình. bảng lưng dạng giày không dẹp như hình.mặc vào rất khó chịu.",1,"cảm ơn bạn đã mua hàng bên shop, xin lỗi bạn vì đã không làm hài lòng bạn, bạn vui lòng check tin nhắn để shop đổi hàng cho bạn ạ."
"hàng không đúng mô tả, không phải sịp đùi, màu mè quá. báo hoàn hàng lần 1 shiper không hề liên lạc hayđến lấy hàng mà 3 lần báo: ""không lấy hàng thàng công do người gửi hẹn ngày khác"". báo hoàn hàng lần 2 shop lại yêu cầu tự ra j&t gửi, do bận với xa quá nên thôi, chán chả buồn nói.",1,
"sản phẩm ok ,lúc trc đặt size l ,bảo shop đổi lại size xl ,shop vâng vâng dạ dạ đến khi nhận sản phẩm mặc size l ,thất vọng quá",1,
đặt hàng hộp 4 cái 4 màu. giao hàng có 2 màu. không thấy gọi điện thoại báo trước khách hàng là hết màu.,1,
nhận hàng kiểm tra chưa dùng mà chỉ thắt lưng đã bung! tệ,1,
giao mà giao 2 cái màu xanh giống nhau là sao ?còn màu trắng đâu? rồi người ta chờ cả tuần mới có giờ không lẽ trả lại trong khi cần dùng? thấy cmt nhiều người bị lắm rồi chứ không phải 1 người. làm ăn vậy đó,1,
"shop đưa 2 màu giống nhau, sản phẩm chất lượng không tốt.",1,
giao hàng không đúng màu quần như trên hình,1,"chào h*t, không biết bạn chưa hài lòng về điều gì về sản phẩm bên shop ạ? hãy nói cho shop biết để shop khắc phục ạ. nếu bạn đã hài lòng thì bạn vui lòng đánh giá 5 sao giúp shop nhé."
shop không thèm đọc tin nhắn ,1,"chào duy_anh_idol, không biết bạn chưa hài lòng về điều gì về sản phẩm bên shop ạ? hãy nói cho shop biết để shop khắc phục ạ. nếu bạn đã hài lòng thì bạn vui lòng đánh giá 5 sao giúp shop nhé."
"quần hôi, đóng gói thì xấu.",1,
giao hàng chậm,1,
"quần mặc 1 lần à shop. mặc lần đầu thấy rách luôn ,sản phẩm kém chất lượng",1,"chào philatop96, không biết bạn chưa hài lòng về điều gì về sản phẩm bên shop ạ? hãy nói cho shop biết để shop khắc phục ạ. nếu bạn đã hài lòng thì bạn vui lòng đánh giá 5 sao giúp shop nhé."
"mình đã thanh toán qua sản phẩm pay, hàng mình chưa nhận được mà sản phẩm báo là đã giao hàng, nhắn cho shop thì kêu chắc chiều giao nhưng vẫn không có, rồi vài ngày nữa thì báo đánh giá luôn, ib shop thì shop cx bảo chiều giao, chờ thêm vài ngày nx ib cho shop thì shop chẳng có thái độ giải quyết, coi như bố thí",1,"chào nln_39, không biết bạn chưa hài lòng về điều gì về sản phẩm bên shop ạ? hãy nói cho shop biết để shop khắc phục ạ. nếu bạn đã hài lòng thì bạn vui lòng đánh giá 5 sao giúp shop nhé."
vợ bảo phai màu.sợ vc  mặc vào hỏng hết cơm cháo,1,"chào trinhthan1210, không biết bạn chưa hài lòng về điều gì về sản phẩm bên shop ạ? hãy nói cho shop biết để shop khắc phục ạ. nếu bạn đã hài lòng thì bạn vui lòng đánh giá 5 sao giúp shop nhé."
lần đầu tiên mua hàng mà bị tình trạng chưa nhận được hàng đã thấy xác nhận nhận hàng và có chữ ký nhận hàng ( không phải chữ ký của mình). đã đề nghị shop giải quyết về tình trạng này mà chưa thấy có phản hồi. gọi điện cho shiper bảo giao từ 2 hôm trước mà mãi không thấy đâu.gọi lại thì không nghe máy.,1,
"vải ok, nhưng dây chun nhìn giống bị giãn. khá lo ngại",1,
"không biết lắng nghe khách hàng, chỉ biết bán lấy tiền.",1,
hàng đep nên mua nha mọi người.còn ship thì thật sự quá tệ không chấp nhận được .hy vọng shop làm việc lại với ship,1,
hàng quảng cáo thì đẹp đến lúc nhận lại chất lượng kém,1,
có ghi size là 3xl dành cho người 77-83kg mà mình 79 kg mua mặc không vừa @,1,
"bảo là sịp đùi mà cuối cùng gửi cái quần tam giác. bận quá không có thời gian để đánh giá ngay được. quần 3xl mà chồng mình 70kg 1m74 không thể mặc vừa nổi, số quá nhỏ. thất vọng",1,shop xin lỗi vì đã giao nhầm hàng cho bạn ạ. shop sẽ tiến hành thu hồi sản phẩm và đổi trả cho bạn ạ.
"cuối cùng thì mua về mặc chật vẫn không đổi được, không hiểu bên giao hàng kiểu gì, không đến lấy hàng hoàn lại báo cáo người gửi thay đổi ngày giao hàng, chán, làm ăn này không ổn rồi",1,
"giao hàng quá lâu, hàng về giặt phai quá nhiều, không bao giờ đặt 1 lần nữa",1,
"giao hàng quá chậm, hơn 2 tuần mới giao hàng. quá tệ với cách làm ăn buôn bán",1,
"đặt nhờ người nhận giùm, bảo che tên sản phẩm ok cho lắm vào thì không che, hên mình lên kịp nhận nhưng mà quá thất vọng, giao đúng 2 màu. chất lượng phục vụ cực kém",1,
"hàng không đúng với sản phẩm đã đặt. mất niềm tin với shop, anh em muốn đặt hàng thì cẩn thận",1,
"4 cái quần thì cái to cái nhỏ,mình đặt xl mà lại đưa cho cái to cái nhỏ,shop làm ăn quá tồi,shop làm ăn vớ vẩn thì có ngày nhận hậu quả gấp nghìn lần,",1,
1 sao gửi cho đội ngũ suport của shopee và giao hàng ,1,
"quần bị ra màu,đúng là tiền nào của nấy.",1,
tôi thề mặc thì nhìn đẹp nhưng nóng vcl. mồ hôi ra nhiều lại còn ngứa đít vc,1,
lưu ý bảo shop che tên sản phẩm nhưng shop không che! nhận hàng không biết giấu mặt vào đâu!,1,"shop xin lỗi vì đã bỏ sót đơn hàng của bạn ạ, lần sau shop sẽ rút kinh nghiệm ạ"
"đặt xl giao xl, ",1,
không thấy giao hàng. không cuộc gọi nhỡ mà đã báo giao thành công,1,
không đúng mẫu . thất vọng,1,
chất quần đẹp. nhưng không hài lòng vì 1 hộp 4c cùng 1 màu đen. nhắn tin shop còn không thèm trả lời. lần sau chắc không dám mua nữa. ,1,
đã nhận được hàng nhưng màu không đúng với lúc đặt hàng. khá thất vọng,1,
hàng này 81 kg mặc không vừa nha chặc mặc không thoải mái không giống lời quảng cáo .,1,
